2026-09-22 15:18:57.030104389 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer ConvAddActivationFusion modified: 0 with status: OK
2026-09-22 15:18:57.030105913 [V:onnxruntime:, graph_transformer_mgr.cc:62 ApplyTransformers] Graph transformer step 1 of 10 for level 3 completed. graph_changed: 0.
2026-09-22 15:18:57.030107233 [V:onnxruntime:, graph_transformer_mgr.cc:67 ApplyTransformers] Stopping graph transformer iteration for level 3 after step 1 because the graph was not modified.
2026-09-22 15:18:57.030113399 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer RemoveDuplicateCastTransformer modified: 0 with status: OK
2026-09-22 15:18:57.030115977 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer CastFloat16Transformer modified: 0 with status: OK
2026-09-22 15:18:57.030117562 [V:onnxruntime:, graph_transformer_mgr.cc:35 ApplyTransformers] Applying 1 graph transformer(s) for level 4 for up to 10 step(s).
2026-09-22 15:18:57.030118864 [V:onnxruntime:, graph_transformer_mgr.cc:43 ApplyTransformers] Graph transformer step 1 of 10 for level 4 started.
2026-09-22 15:18:57.030120107 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer FuseFp16InitializerToFp32NodeTransformer on step 1.
2026-09-22 15:18:57.030121908 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer FuseFp16InitializerToFp32NodeTransformer modified: 0 with status: OK
2026-09-22 15:18:57.030123234 [V:onnxruntime:, graph_transformer_mgr.cc:62 ApplyTransformers] Graph transformer step 1 of 10 for level 4 completed. graph_changed: 0.
2026-09-22 15:18:57.030124454 [V:onnxruntime:, graph_transformer_mgr.cc:67 ApplyTransformers] Stopping graph transformer iteration for level 4 after step 1 because the graph was not modified.
2026-09-22 15:18:57.030142188 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer MemcpyTransformer modified: 0 with status: OK
2026-09-22 15:18:57.030160458 [V:onnxruntime:, session_state.cc:1377 VerifyEachNodeIsAssignedToAnEp] Node placements
2026-09-22 15:18:57.030162463 [V:onnxruntime:, session_state.cc:1380 VerifyEachNodeIsAssignedToAnEp]  All nodes placed on [CUDAExecutionProvider]. Number of nodes: 1
2026-09-22 15:18:57.030172088 [V:onnxruntime:, session_state.cc:186 CreateGraphInfo] SaveMLValueNameIndexMapping
2026-09-22 15:18:57.030175408 [V:onnxruntime:, session_state.cc:232 CreateGraphInfo] Done saving OrtValue mappings.
2026-09-22 15:18:57.044885842 [I:onnxruntime:default, cuda_execution_provider.cc:249 PerThreadContext] cuDNN version: 92600
2026-09-22 15:18:57.044908802 [I:onnxruntime:, allocation_planner.cc:2653 CreateGraphPartitioner] Use DeviceBasedPartition as default
2026-09-22 15:18:57.044930827 [I:onnxruntime:, session_state_utils.cc:263 SaveInitializedTensors] Saving initialized tensors.
2026-09-22 15:18:57.044939451 [I:onnxruntime:default, bfc_arena.cc:335 AllocateRawInternal] Extending BFCArena for Cuda. bin_num:2 (requested) num_bytes: 1024 (actual) rounded_bytes:1024
2026-09-22 15:18:57.044952434 [I:onnxruntime:default, bfc_arena.cc:205 Extend] Extended allocation by 1048576 bytes.
2026-09-22 15:18:57.044954058 [I:onnxruntime:default, bfc_arena.cc:208 Extend] Total allocated bytes: 1048576
2026-09-22 15:18:57.044955753 [I:onnxruntime:default, bfc_arena.cc:211 Extend] Allocated memory at 0x7a98be421c00 to 0x7a98be521c00
2026-09-22 15:18:57.045595898 [I:onnxruntime:, session_state_utils.cc:463 SaveInitializedTensors] Done saving initialized tensors
2026-09-22 15:18:57.045703418 [I:onnxruntime:, inference_session.cc:3094 Initialize] Session successfully initialized.
2026-09-22 15:18:57.045740515 [I:onnxruntime:default, bfc_arena.cc:335 AllocateRawInternal] Extending BFCArena for CudaPinned. bin_num:15 (requested) num_bytes: 9633792 (actual) rounded_bytes:9633792
2026-09-22 15:18:57.050592828 [I:onnxruntime:default, bfc_arena.cc:205 Extend] Extended allocation by 16777216 bytes.
2026-09-22 15:18:57.050604452 [I:onnxruntime:default, bfc_arena.cc:208 Extend] Total allocated bytes: 16777216
2026-09-22 15:18:57.050606432 [I:onnxruntime:default, bfc_arena.cc:211 Extend] Allocated memory at 0x7a98c1000000 to 0x7a98c2000000
2026-09-22 15:18:57.051405288 [I:onnxruntime:default, bfc_arena.cc:335 AllocateRawInternal] Extending BFCArena for Cuda. bin_num:15 (requested) num_bytes: 9633792 (actual) rounded_bytes:9633792
2026-09-22 15:18:57.051524980 [I:onnxruntime:default, bfc_arena.cc:205 Extend] Extended allocation by 16777216 bytes.
2026-09-22 15:18:57.051527934 [I:onnxruntime:default, bfc_arena.cc:208 Extend] Total allocated bytes: 17825792
2026-09-22 15:18:57.051529406 [I:onnxruntime:default, bfc_arena.cc:211 Extend] Allocated memory at 0x7a98a8000000 to 0x7a98a9000000
2026-09-22 15:18:57.051676494 [I:onnxruntime:default, bfc_arena.cc:335 AllocateRawInternal] Extending BFCArena for CudaPinned. bin_num:18 (requested) num_bytes: 67108864 (actual) rounded_bytes:67108864
2026-09-22 15:18:57.067916194 [I:onnxruntime:default, bfc_arena.cc:205 Extend] Extended allocation by 67108864 bytes.
2026-09-22 15:18:57.067930317 [I:onnxruntime:default, bfc_arena.cc:208 Extend] Total allocated bytes: 83886080
2026-09-22 15:18:57.067932212 [I:onnxruntime:default, bfc_arena.cc:211 Extend] Allocated memory at 0x7a98a4000000 to 0x7a98a8000000
2026-09-22 15:18:57.072007012 [I:onnxruntime:default, bfc_arena.cc:335 AllocateRawInternal] Extending BFCArena for Cuda. bin_num:18 (requested) num_bytes: 67108864 (actual) rounded_bytes:67108864
2026-09-22 15:18:57.072282133 [I:onnxruntime:default, bfc_arena.cc:205 Extend] Extended allocation by 67108864 bytes.
2026-09-22 15:18:57.072286073 [I:onnxruntime:default, bfc_arena.cc:208 Extend] Total allocated bytes: 84934656
2026-09-22 15:18:57.072287750 [I:onnxruntime:default, bfc_arena.cc:211 Extend] Allocated memory at 0x7a98a0000000 to 0x7a98a4000000
2026-09-22 15:18:57.073413035 [I:onnxruntime:default, bfc_arena.cc:335 AllocateRawInternal] Extending BFCArena for CudaPinned. bin_num:16 (requested) num_bytes: 16777216 (actual) rounded_bytes:16777216
2026-09-22 15:18:57.088322856 [I:onnxruntime:default, bfc_arena.cc:205 Extend] Extended allocation by 67108864 bytes.
2026-09-22 15:18:57.088332162 [I:onnxruntime:default, bfc_arena.cc:208 Extend] Total allocated bytes: 150994944
2026-09-22 15:18:57.088333878 [I:onnxruntime:default, bfc_arena.cc:211 Extend] Allocated memory at 0x7a989c000000 to 0x7a98a0000000
2026-09-22 15:18:57.089666096 [I:onnxruntime:default, bfc_arena.cc:335 AllocateRawInternal] Extending BFCArena for Cuda. bin_num:16 (requested) num_bytes: 16777216 (actual) rounded_bytes:16777216
2026-09-22 15:18:57.089783735 [I:onnxruntime:default, bfc_arena.cc:205 Extend] Extended allocation by 67108864 bytes.
2026-09-22 15:18:57.089787538 [I:onnxruntime:default, bfc_arena.cc:208 Extend] Total allocated bytes: 152043520
